Posición,Tiempo
11.499958043166242,0.0
11.49978808005415,0.013333333333333334
11.499257680054221,0.02666666666666667
11.498414239649788,0.04
11.497071436828252,0.05333333333333334
11.495386672419038,0.06666666666666667
11.493475702892473,0.08
11.49098083725623,0.09333333333333334
11.488189894823549,0.10666666666666667
11.485186889886535,0.12000000000000001
11.481640333849086,0.13333333333333333
11.477788654426899,0.14666666666666667
11.47353765116488,0.16
11.469040359566023,0.17333333333333334
11.464074971698986,0.18666666666666668
11.458698581651173,0.2
11.4530687238743,0.21333333333333335
11.44702680856274,0.22666666666666668
11.440595703571857,0.24000000000000002
11.43387618373646,0.25333333333333335
11.426750700029789,0.26666666666666666
11.419237556164896,0.28
11.411390921477974,0.29333333333333333
11.403246885139643,0.3066666666666667
11.394638705571873,0.32
11.385754913598118,0.33333333333333337
11.376341170224897,0.3466666666666667
11.366733901454868,0.36000000000000004
11.356806070802602,0.37333333333333335
11.346486647694396,0.3866666666666667
11.335812488446,0.4
11.3247846546838,0.4133333333333334
11.313377229213456,0.4266666666666667
11.301604719754534,0.44
11.289504125334181,0.45333333333333337
11.277003928722925,0.4666666666666667
11.264256718265619,0.48000000000000004
11.2511416775471,0.49333333333333335
11.237582195469011,0.5066666666666667
11.22382242093717,0.52
11.209725977079893,0.5333333333333333
11.195136691932854,0.5466666666666667
11.180436553327016,0.56
11.165247643959157,0.5733333333333334
11.14941177515247,0.5866666666666667
11.13378051674952,0.6000000000000001
11.117573206175084,0.6133333333333334
11.1010773140183,0.6266666666666667
11.08421656019583,0.64
11.066979669248541,0.6533333333333333
11.049446947513134,0.6666666666666667
11.031586526892019,0.68
11.01347775875364,0.6933333333333334
10.994986493346351,0.7066666666666667
10.976166386027428,0.7200000000000001
10.957053201906845,0.7333333333333334
10.937527138938306,0.7466666666666667
10.91785638722423,0.76
10.897740418159577,0.7733333333333334
10.877382378568871,0.7866666666666667
10.856746959592485,0.8
10.83569830232258,0.8133333333333334
10.814475038386787,0.8266666666666668
10.792698583729148,0.8400000000000001
10.770768461684469,0.8533333333333334
10.74873227135393,0.8666666666666667
10.726216382748076,0.88
10.703227063615854,0.8933333333333334
10.680177396251734,0.9066666666666667
10.656731212237595,0.92
10.633007150551782,0.9333333333333333
10.60915338675253,0.9466666666666668
10.58489632401085,0.9600000000000001
10.560258957646854,0.9733333333333334
10.535423789278736,0.9866666666666667
10.510381399135284,1.0
10.485021907737092,1.0133333333333334
10.459340086809572,1.0266666666666668
10.433424572241558,1.04
10.407224781989026,1.0533333333333335
10.38082928255292,1.0666666666666667
10.354041154424987,1.08
10.327067531162676,1.0933333333333335
10.299828452010017,1.1066666666666667
10.27232479329674,1.12
10.244388986419079,1.1333333333333333
10.216561459182337,1.1466666666666667
10.188302632395084,1.1600000000000001
10.159770264898672,1.1733333333333333
10.13100473426982,1.1866666666666668
10.101989603537938,1.2000000000000002
10.07269363473547,1.2133333333333334
10.043273922511242,1.2266666666666668
10.01368215829257,1.24
9.983745843525854,1.2533333333333334
9.953501194648181,1.2666666666666668
9.923111817268252,1.28
9.892463420171307,1.2933333333333334
9.861656040272383,1.3066666666666666
9.830760329698979,1.32
9.799323396006368,1.3333333333333335
9.767874969499404,1.3466666666666667
9.736249771090575,1.36
9.704463440493774,1.3733333333333335
9.672220953423984,1.3866666666666667
9.639901080453859,1.4000000000000001
9.607427417221299,1.4133333333333333
9.574779137501983,1.4266666666666667
9.541804971289144,1.4400000000000002
9.508868050522429,1.4533333333333334
9.475649934850374,1.4666666666666668
9.44224389287914,1.4800000000000002
9.408544544829835,1.4933333333333334
9.374696078379747,1.5066666666666668
9.340783676558315,1.52
9.306703979555524,1.5333333333333334
9.27242133675745,1.5466666666666669
9.237980970773622,1.56
9.203379187569526,1.5733333333333335
9.168692967273689,1.5866666666666667
9.133656815155259,1.6
9.098666653403319,1.6133333333333335
9.063439897892847,1.6266666666666667
9.028160756939664,1.6400000000000001
8.992441432376804,1.6533333333333335
8.956926874468886,1.6666666666666667
8.921120475722217,1.6800000000000002
8.8852595527332,1.6933333333333334
8.849184981305756,1.7066666666666668
8.813051938539461,1.7200000000000002
8.776760597841108,1.7333333333333334
8.740514981743678,1.7466666666666668
8.703924474860608,1.76
8.667314787380171,1.7733333333333334
8.630508343772119,1.7866666666666668
8.593745127898345,1.8
8.556866667409658,1.8133333333333335
8.519793264200933,1.8266666666666669
8.482635236615009,1.84
8.445467484666068,1.8533333333333335
8.408283139528889,1.8666666666666667
8.370820311714414,1.8800000000000001
8.33327605019601,1.8933333333333335
8.295864102083675,1.9066666666666667
8.258139712648136,1.9200000000000002
8.220609091771733,1.9333333333333333
8.182904182485789,1.9466666666666668
8.144931476295259,1.9600000000000002
8.107258773707517,1.9733333333333334
8.069257046200857,1.9866666666666668
8.031341999796084,2.0
7.993234709403204,2.0133333333333336
7.955148728319764,2.026666666666667
7.91706912142557,2.04
7.878906263414317,2.0533333333333337
7.840774002467994,2.066666666666667
7.802522715366163,2.08
7.764416338873334,2.0933333333333333
7.726041132400894,2.106666666666667
7.687730266307678,2.12
7.649437345589925,2.1333333333333333
7.610992334109141,2.146666666666667
7.5728044912373536,2.16
7.5343773518569,2.1733333333333333
7.496182356280795,2.186666666666667
7.457673953580159,2.2
7.419521375622977,2.2133333333333334
7.381102569621324,2.226666666666667
7.3428930297389785,2.24
7.304474907226397,2.2533333333333334
7.266226288679468,2.2666666666666666
7.227975736066813,2.2800000000000002
7.189712704116075,2.2933333333333334
7.151544606620802,2.3066666666666666
7.113353296127219,2.3200000000000003
7.075332352000425,2.3333333333333335
7.037050180153655,2.3466666666666667
6.99913357786668,2.3600000000000003
6.96121852755051,2.3733333333333335
6.923064855212086,2.3866666666666667
6.885218861573044,2.4000000000000004
6.847272997151209,2.4133333333333336
6.809522721592554,2.4266666666666667
6.771890960484508,2.44
6.734176627088413,2.4533333333333336
6.696594595999435,2.466666666666667
6.65908368803738,2.48
6.621641609468918,2.4933333333333336
6.584297861553569,2.506666666666667
6.546986661711997,2.52
6.509718772044223,2.5333333333333337
6.472721224842957,2.546666666666667
6.435602919304228,2.56
6.398792927256612,2.5733333333333337
6.3620049104986585,2.586666666666667
6.325335237620641,2.6
6.28874252000284,2.6133333333333333
6.252255010485575,2.626666666666667
6.2158286021475675,2.64
6.179577836316827,2.6533333333333333
6.143546055057121,2.666666666666667
6.107499521510502,2.68
6.071509258875534,2.6933333333333334
6.035884787544343,2.706666666666667
6.00032059074767,2.72
5.964731486092957,2.7333333333333334
5.929428105443295,2.746666666666667
5.894236359246625,2.7600000000000002
5.859176795988613,2.7733333333333334
5.824382461044379,2.7866666666666666
5.78967795855602,2.8000000000000003
5.7550937759826315,2.8133333333333335
5.720573982644353,2.8266666666666667
5.6863754526608385,2.8400000000000003
5.65226112591241,2.8533333333333335
5.618357686704431,2.8666666666666667
5.5846375360616065,2.8800000000000003
5.551156302535242,2.8933333333333335
5.517664806730906,2.9066666666666667
5.4845885157822964,2.9200000000000004
5.451489176583505,2.9333333333333336
5.418742875898055,2.9466666666666668
5.385969325528212,2.9600000000000004
5.353595418669723,2.9733333333333336
5.321243792911604,2.986666666666667
5.289122801813442,3.0
5.257369520965102,3.0133333333333336
5.22579087391573,3.026666666666667
5.194251358093789,3.04
5.163113203161644,3.0533333333333337
5.132085882885862,3.066666666666667
5.1012788218497285,3.08
5.070627862909509,3.0933333333333337
5.040404648666807,3.106666666666667
5.0103578808876215,3.12
4.980428400611563,3.1333333333333337
4.950779051040793,3.146666666666667
4.921234516976916,3.16
4.892185246747654,3.1733333333333333
4.8632068556992785,3.186666666666667
4.834482643264883,3.2
4.8059540513034165,3.2133333333333334
4.777685295946546,3.226666666666667
4.749861123385982,3.24
4.722066437108087,3.2533333333333334
4.694639429806546,3.266666666666667
4.667458198413554,3.2800000000000002
4.6405998935001636,3.2933333333333334
4.613904577798866,3.306666666666667
4.587331562022763,3.3200000000000003
4.5612718847472955,3.3333333333333335
4.535432261831143,3.3466666666666667
4.509805493875009,3.3600000000000003
4.484532323751584,3.3733333333333335
4.459329101527276,3.3866666666666667
4.434508009115155,3.4000000000000004
4.410109507078487,3.4133333333333336
4.386020428486005,3.4266666666666667
4.362054987701376,3.4400000000000004
4.338576010229024,3.4533333333333336
4.315132374074528,3.466666666666667
4.292099279340571,3.4800000000000004
4.2692688747645295,3.4933333333333336
4.246820789650247,3.506666666666667
4.224647307193668,3.52
4.2027471494023105,3.5333333333333337
4.181228554831317,3.546666666666667
4.1600696547780665,3.56
4.139042160188869,3.5733333333333337
4.118469614715622,3.586666666666667
4.098125467042306,3.6
4.078023988645406,3.6133333333333337
4.058465440133325,3.626666666666667
4.039005683925336,3.64
4.020057618744171,3.6533333333333338
4.001420330897845,3.666666666666667
3.9828254487628136,3.68
3.964727503821805,3.6933333333333334
3.9468989401354553,3.706666666666667
3.9296126196011674,3.72
3.912323735174903,3.7333333333333334
3.8956184664745095,3.746666666666667
3.879193024331608,3.7600000000000002
3.863011997098413,3.7733333333333334
3.847180291239491,3.786666666666667
3.831705379163327,3.8000000000000003
3.8167595572732065,3.8133333333333335
3.801954068635921,3.826666666666667
3.7874870195654307,3.8400000000000003
3.7734297786162023,3.8533333333333335
3.7595932378545562,3.8666666666666667
3.7462036704481423,3.8800000000000003
3.7330333853737927,3.8933333333333335
3.7203835304190527,3.9066666666666667
3.70812882140713,3.9200000000000004
3.696020507971237,3.9333333333333336
3.6843155908017695,3.9466666666666668
3.672979769717935,3.9600000000000004
3.6619468174791594,3.9733333333333336
3.651344695159745,3.986666666666667
3.64115810826708,4.0
